GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
TB_e_inc_num,Number of incident tuberculosis cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-incident-tuberculosis-cases,2013,2013,2013,SEAR,South-East Asia,IND,India,,,,3220000.0,3 220 000 [1 830 000-4 990 000],1830000.0,4990000.0
TB_c_ret_tsr,Treatment success rate: previously treated TB cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-previously-treated-tb-cases,2020,2020,2020,SEAR,South-East Asia,IND,India,,,,80.0,80,,
TB_1,Tuberculosis treatment coverage,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tuberculosis-treatment-coverage,2001,2001,2001,SEAR,South-East Asia,IND,India,,,,31.0,31 [16-91],16.0,91.0
TB_c_mdr_tsr,Treatment success rate for patients treated for MDR-TB (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-for-patients-treated-for-mdr-tb-%28-%29,2012,2012,2012,SEAR,South-East Asia,IND,India,,,,46.0,46,,
TB_hivtest_pct,TB patients with known HIV status (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tb-patients-with-known-hiv-status-%28-%29,2009,2009,2009,SEAR,South-East Asia,IND,India,,,,17.0,17,,
TB_c_newinc,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tuberculosis---new-and-relapse-cases,2012,2012,2012,SEAR,South-East Asia,IND,India,,,,1289836.0,1 289 836,,
TB_e_inc_tbhiv_num,"Number of incident tuberculosis cases,  (HIV-positive cases)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-incident-tuberculosis-cases-%28hiv-positive-cases%29,2015,2015,2015,SEAR,South-East Asia,IND,India,,,,125000.0,125 000 [88 000-168 000],88000.0,168000.0
TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/incidence-of-tuberculosis-%28per-100-000-population%29-%28hiv-positive-cases%29,2017,2017,2017,SEAR,South-East Asia,IND,India,,,,5.9,5.9 [3.9-8.2],3.9,8.2
TB_c_mdr_tx,Cases started on MDR-TB treatment,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/cases-started-on-mdr-tb-treatment,2010,2010,2010,SEAR,South-East Asia,IND,India,,,,2182.0,2182,,
TB_c_new_tsr,Treatment success rate: new TB cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-new-tb-cases,1998,1998,1998,SEAR,South-East Asia,IND,India,,,,27.0,27,,
TB_e_inc_rr_num,Estimated number of MDR/RR-TB incident cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-number-of-mdr-rr-tb-incident-cases,2020,2020,2020,SEAR,South-East Asia,IND,India,,,,120000.0,120 000 [95 000-140 000],95000.0,140000.0
TB_rr_mdr,Confirmed cases of RR-/MDR-TB,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/confirmed-cases-of-rr--mdr-tb,2008,2008,2008,SEAR,South-East Asia,IND,India,,,,308.0,308,,
TB_hivtest_pos_pct,Tested TB patients HIV-positive (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tested-tb-patients-hiv-positive-%28-%29,2022,2022,2022,SEAR,South-East Asia,IND,India,,,,1.7,1.7,,
TB_1,Tuberculosis treatment coverage,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tuberculosis-treatment-coverage,2003,2003,2003,SEAR,South-East Asia,IND,India,,,,30.0,30 [15-87],15.0,87.0
TB_e_inc_tbhiv_num,"Number of incident tuberculosis cases,  (HIV-positive cases)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-incident-tuberculosis-cases-%28hiv-positive-cases%29,2012,2012,2012,SEAR,South-East Asia,IND,India,,,,195000.0,195 000 [52 000-433 000],52000.0,433000.0
TB_c_xdr_tsr,Treatment success rate: XDR-TB cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-xdr-tb-cases,2019,2019,2019,SEAR,South-East Asia,IND,India,,,,55.0,55,,
TB_c_dst_rlt_new_pct,New cases tested for RR-/MDR-TB (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/new-cases-tested-for-rr--mdr-tb-%28-%29,2015,2015,2015,SEAR,South-East Asia,IND,India,,,,11.0,11,,
TB_e_inc_tbhiv_num,"Number of incident tuberculosis cases,  (HIV-positive cases)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-incident-tuberculosis-cases-%28hiv-positive-cases%29,2018,2018,2018,SEAR,South-East Asia,IND,India,,,,100000.0,100 000 [79 000-124 000],79000.0,124000.0
TB_c_mdr_tx,Cases started on MDR-TB treatment,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/cases-started-on-mdr-tb-treatment,2017,2017,2017,SEAR,South-East Asia,IND,India,,,,35950.0,35 950,,
TB_e_inc_tbhiv_num,"Number of incident tuberculosis cases,  (HIV-positive cases)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-incident-tuberculosis-cases-%28hiv-positive-cases%29,2003,2003,2003,SEAR,South-East Asia,IND,India,,,,303000.0,303 000 [53 000-766 000],53000.0,766000.0
TB_c_ret_tsr,Treatment success rate: previously treated TB cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-previously-treated-tb-cases,2000,2000,2000,SEAR,South-East Asia,IND,India,,,,70.0,70,,
TB_hivtest_pos_pct,Tested TB patients HIV-positive (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tested-tb-patients-hiv-positive-%28-%29,2012,2012,2012,SEAR,South-East Asia,IND,India,,,,5.4,5.4,,
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/incidence-of-tuberculosis-%28per-100-000-population-per-year%29,2003,2003,2003,SEAR,South-East Asia,IND,India,,,,318.0,318 [110-632],110.0,632.0
TB_c_dst_rlt_new_pct,New cases tested for RR-/MDR-TB (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/new-cases-tested-for-rr--mdr-tb-%28-%29,2020,2020,2020,SEAR,South-East Asia,IND,India,,,,98.0,98,,
TB_e_inc_tbhiv_num,"Number of incident tuberculosis cases,  (HIV-positive cases)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-incident-tuberculosis-cases-%28hiv-positive-cases%29,2006,2006,2006,SEAR,South-East Asia,IND,India,,,,272000.0,272 000 [50 000-681 000],50000.0,681000.0
TB_e_inc_num,Number of incident tuberculosis cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-incident-tuberculosis-cases,2014,2014,2014,SEAR,South-East Asia,IND,India,,,,3190000.0,3 190 000 [2 240 000-4 310 000],2240000.0,4310000.0
TB_c_new_tsr,Treatment success rate: new TB cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-new-tb-cases,2001,2001,2001,SEAR,South-East Asia,IND,India,,,,54.0,54,,
TB_rr_mdr,Confirmed cases of RR-/MDR-TB,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/confirmed-cases-of-rr--mdr-tb,2016,2016,2016,SEAR,South-East Asia,IND,India,,,,37258.0,37 258,,
TB_e_inc_rr_num,Estimated number of MDR/RR-TB incident cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-number-of-mdr-rr-tb-incident-cases,2024,2024,2024,SEAR,South-East Asia,IND,India,,,,130000.0,130 000 [100 000-150 000],100000.0,150000.0
TB_rr_mdr,Confirmed cases of RR-/MDR-TB,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/confirmed-cases-of-rr--mdr-tb,2014,2014,2014,SEAR,South-East Asia,IND,India,,,,25748.0,25 748,,
TB_c_new_tsr,Treatment success rate: new TB cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-new-tb-cases,2018,2018,2018,SEAR,South-East Asia,IND,India,,,,82.0,82,,
TB_c_dst_rlt_ret_pct,Previously treated cases tested for RR-/MDR-TB (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/previously-treated-cases-tested-for-rr--mdr-tb-%28-%29,2019,2019,2019,SEAR,South-East Asia,IND,India,,,,82.0,82,,
TB_c_tbhiv_tsr,Treatment success rate: HIV-positive TB cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-hiv-positive-tb-cases,2018,2018,2018,SEAR,South-East Asia,IND,India,,,,74.0,74,,
TB_hivtest_pct,TB patients with known HIV status (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tb-patients-with-known-hiv-status-%28-%29,2017,2017,2017,SEAR,South-East Asia,IND,India,,,,73.0,73,,
TB_c_dst_rlt_ret_pct,Previously treated cases tested for RR-/MDR-TB (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/previously-treated-cases-tested-for-rr--mdr-tb-%28-%29,2008,2008,2008,SEAR,South-East Asia,IND,India,,,,0.52,0.52,,
TB_c_new_tsr,Treatment success rate: new TB cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-new-tb-cases,1996,1996,1996,SEAR,South-East Asia,IND,India,,,,21.0,21,,
TB_e_inc_num,Number of incident tuberculosis cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-incident-tuberculosis-cases,2019,2019,2019,SEAR,South-East Asia,IND,India,,,,2810000.0,2 810 000 [2 490 000-3 150 000],2490000.0,3150000.0
TB_c_ret_tsr,Treatment success rate: previously treated TB cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-previously-treated-tb-cases,2002,2002,2002,SEAR,South-East Asia,IND,India,,,,72.0,72,,
TB_c_tbhiv_tsr,Treatment success rate: HIV-positive TB cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-hiv-positive-tb-cases,2011,2011,2011,SEAR,South-East Asia,IND,India,,,,75.0,75,,
TB_c_ret_tsr,Treatment success rate: previously treated TB cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-previously-treated-tb-cases,2022,2022,2022,SEAR,South-East Asia,IND,India,,,,85.0,85,,
TB_c_new_tsr,Treatment success rate: new TB cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-new-tb-cases,2000,2000,2000,SEAR,South-East Asia,IND,India,,,,34.0,34,,
TB_hivtest_pct,TB patients with known HIV status (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tb-patients-with-known-hiv-status-%28-%29,2018,2018,2018,SEAR,South-East Asia,IND,India,,,,72.0,72,,
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/incidence-of-tuberculosis-%28per-100-000-population-per-year%29,2008,2008,2008,SEAR,South-East Asia,IND,India,,,,291.0,291 [113-552],113.0,552.0
TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/incidence-of-tuberculosis-%28per-100-000-population%29-%28hiv-positive-cases%29,2021,2021,2021,SEAR,South-East Asia,IND,India,,,,3.9,3.9 [3.3-4.5],3.3,4.5
TB_c_dst_rlt_ret_pct,Previously treated cases tested for RR-/MDR-TB (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/previously-treated-cases-tested-for-rr--mdr-tb-%28-%29,2020,2020,2020,SEAR,South-East Asia,IND,India,,,,96.0,96,,
TB_1,Tuberculosis treatment coverage,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tuberculosis-treatment-coverage,2023,2023,2023,SEAR,South-East Asia,IND,India,,,,86.0,86 [74-100],74.0,100.0
