GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/incidence-of-tuberculosis-%28per-100-000-population%29-%28hiv-positive-cases%29,2008,2008,2008,SEAR,South-East Asia,IND,India,,,,19.0,19 [3.7-47],3.7,47.0
TB_c_dst_rlt_ret_pct,Previously treated cases tested for RR-/MDR-TB (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/previously-treated-cases-tested-for-rr--mdr-tb-%28-%29,2009,2009,2009,SEAR,South-East Asia,IND,India,,,,1.2,1.2,,
TB_c_dst_rlt_new_pct,New cases tested for RR-/MDR-TB (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/new-cases-tested-for-rr--mdr-tb-%28-%29,2023,2023,2023,SEAR,South-East Asia,IND,India,,,,82.0,82,,
TB_c_dst_rlt_ret_pct,Previously treated cases tested for RR-/MDR-TB (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/previously-treated-cases-tested-for-rr--mdr-tb-%28-%29,2022,2022,2022,SEAR,South-East Asia,IND,India,,,,80.0,80,,
TB_1,Tuberculosis treatment coverage,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tuberculosis-treatment-coverage,2018,2018,2018,SEAR,South-East Asia,IND,India,,,,67.0,67 [60-75],60.0,75.0
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/incidence-of-tuberculosis-%28per-100-000-population-per-year%29,2002,2002,2002,SEAR,South-East Asia,IND,India,,,,320.0,320 [110-638],110.0,638.0
TB_c_dst_rlt_new_pct,New cases tested for RR-/MDR-TB (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/new-cases-tested-for-rr--mdr-tb-%28-%29,2018,2018,2018,SEAR,South-East Asia,IND,India,,,,48.0,48,,
TB_e_inc_tbhiv_num,"Number of incident tuberculosis cases,  (HIV-positive cases)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-incident-tuberculosis-cases-%28hiv-positive-cases%29,2008,2008,2008,SEAR,South-East Asia,IND,India,,,,258000.0,258 000 [50 000-633 000],50000.0,633000.0
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/incidence-of-tuberculosis-%28per-100-000-population-per-year%29,2013,2013,2013,SEAR,South-East Asia,IND,India,,,,248.0,248 [141-385],141.0,385.0
TB_c_mdr_tsr,Treatment success rate for patients treated for MDR-TB (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-for-patients-treated-for-mdr-tb-%28-%29,2022,2022,2022,SEAR,South-East Asia,IND,India,,,,77.0,77,,
TB_e_inc_rr_num,Estimated number of MDR/RR-TB incident cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-number-of-mdr-rr-tb-incident-cases,2017,2017,2017,SEAR,South-East Asia,IND,India,,,,110000.0,110 000 [92 000-140 000],92000.0,140000.0
TB_1,Tuberculosis treatment coverage,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tuberculosis-treatment-coverage,2019,2019,2019,SEAR,South-East Asia,IND,India,,,,77.0,77 [69-87],69.0,87.0
TB_hivtest_pos_pct,Tested TB patients HIV-positive (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tested-tb-patients-hiv-positive-%28-%29,2006,2006,2006,SEAR,South-East Asia,IND,India,,,,15.0,15,,
TB_c_ret_tsr,Treatment success rate: previously treated TB cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-previously-treated-tb-cases,2001,2001,2001,SEAR,South-East Asia,IND,India,,,,58.0,58,,
TB_hivtest_pos_pct,Tested TB patients HIV-positive (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tested-tb-patients-hiv-positive-%28-%29,2005,2005,2005,SEAR,South-East Asia,IND,India,,,,22.0,22,,
TB_1,Tuberculosis treatment coverage,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tuberculosis-treatment-coverage,2009,2009,2009,SEAR,South-East Asia,IND,India,,,,39.0,39 [21-97],21.0,97.0
TB_c_ret_tsr,Treatment success rate: previously treated TB cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-previously-treated-tb-cases,1995,1995,1995,SEAR,South-East Asia,IND,India,,,,70.0,70,,
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/incidence-of-tuberculosis-%28per-100-000-population-per-year%29,2017,2017,2017,SEAR,South-East Asia,IND,India,,,,217.0,217 [192-242],192.0,242.0
TB_e_inc_num,Number of incident tuberculosis cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-incident-tuberculosis-cases,2021,2021,2021,SEAR,South-East Asia,IND,India,,,,2770000.0,2 770 000 [2 400 000-3 210 000],2400000.0,3210000.0
TB_c_ret_tsr,Treatment success rate: previously treated TB cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-previously-treated-tb-cases,2013,2013,2013,SEAR,South-East Asia,IND,India,,,,66.0,66,,
TB_c_new_tsr,Treatment success rate: new TB cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-new-tb-cases,2022,2022,2022,SEAR,South-East Asia,IND,India,,,,89.0,89,,
TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/incidence-of-tuberculosis-%28per-100-000-population%29-%28hiv-positive-cases%29,2006,2006,2006,SEAR,South-East Asia,IND,India,,,,21.0,21 [3.8-52],3.8,52.0
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/incidence-of-tuberculosis-%28per-100-000-population-per-year%29,2023,2023,2023,SEAR,South-East Asia,IND,India,,,,192.0,192 [166-223],166.0,223.0
TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/incidence-of-tuberculosis-%28per-100-000-population%29-%28hiv-positive-cases%29,2007,2007,2007,SEAR,South-East Asia,IND,India,,,,19.0,19 [6.8-37],6.8,37.0
TB_c_newinc,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tuberculosis---new-and-relapse-cases,2015,2015,2015,SEAR,South-East Asia,IND,India,,,,1667136.0,1 667 136,,
TB_hivtest_pct,TB patients with known HIV status (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tb-patients-with-known-hiv-status-%28-%29,2022,2022,2022,SEAR,South-East Asia,IND,India,,,,96.0,96,,
TB_hivtest_pos_pct,Tested TB patients HIV-positive (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tested-tb-patients-hiv-positive-%28-%29,2017,2017,2017,SEAR,South-East Asia,IND,India,,,,2.9,2.9,,
TB_c_ret_tsr,Treatment success rate: previously treated TB cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-previously-treated-tb-cases,2023,2023,2023,SEAR,South-East Asia,IND,India,,,,90.0,90,,
TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/incidence-of-tuberculosis-%28per-100-000-population%29-%28hiv-positive-cases%29,2011,2011,2011,SEAR,South-East Asia,IND,India,,,,15.0,15 [3.1-35],3.1,35.0
TB_hivtest_pos_pct,Tested TB patients HIV-positive (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tested-tb-patients-hiv-positive-%28-%29,2009,2009,2009,SEAR,South-East Asia,IND,India,,,,14.0,14,,
TB_c_new_tsr,Treatment success rate: new TB cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-new-tb-cases,2007,2007,2007,SEAR,South-East Asia,IND,India,,,,88.0,88,,
TB_c_mdr_tsr,Treatment success rate for patients treated for MDR-TB (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-for-patients-treated-for-mdr-tb-%28-%29,2014,2014,2014,SEAR,South-East Asia,IND,India,,,,46.0,46,,
TB_c_mdr_tsr,Treatment success rate for patients treated for MDR-TB (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-for-patients-treated-for-mdr-tb-%28-%29,2018,2018,2018,SEAR,South-East Asia,IND,India,,,,56.0,56,,
TB_c_tbhiv_tsr,Treatment success rate: HIV-positive TB cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-hiv-positive-tb-cases,2014,2014,2014,SEAR,South-East Asia,IND,India,,,,76.0,76,,
TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/incidence-of-tuberculosis-%28per-100-000-population%29-%28hiv-positive-cases%29,2012,2012,2012,SEAR,South-East Asia,IND,India,,,,14.0,14 [3-33],3.0,33.0
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/incidence-of-tuberculosis-%28per-100-000-population-per-year%29,2015,2015,2015,SEAR,South-East Asia,IND,India,,,,237.0,237 [181-300],181.0,300.0
